単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度,Scored Labels,Scored Probabilities
黒線,0,0.255475000570577,2,4,1,"",0,0.361998349428177
黒線,0,0.244006817159855,2,4,1,"",0,0.361998349428177
黒ブロック,0,0.374176324667804,4,6.8,7,"",1,0.5845987200737
黒ブロック,0,0.254467338688441,4,6.8,7,"",1,0.5845987200737
黒ブロック,0,0.238851839119834,4,6.8,7,"",1,0.5845987200737
黒ブロック,0,0.224606619692674,4,6.8,7,"",1,0.5845987200737
領域,0,0.430551021781083,1,4,0,"",0,0.338135033845901
順番,0,0.404532452313076,1,4,0,"",0,0.338135033845901
順位,0,0.321562176603937,1,4,0,"",0,0.338135033845901
静止,0,0.255526811388178,2,4,0,"",0,0.347559571266174
静止,0,0.253466879613994,2,4,0,"",0,0.347559571266174
青斜線,0,0.608981787585673,1,6,0,"",0,0.412682622671127
隣接,0,0.296198618699508,1,4,0,"",0,0.338135033845901
隠す,0,0.342079655070583,1,3.1,0,"",0,0.306816577911377
除く,0,0.258673409704824,1,3.1,0,"",0,0.306816577911377
除い,0,0.432862504398673,1,3.1,0,"",0,0.306816577911377
限ら,0,0.370887160150767,1,3.1,0,"",0,0.306816577911377
開始,0,0.567705564667961,1,4,0,"",0,0.338135033845901
重なる,0,0.325576217632757,1,4.2,0,"",0,0.345304578542709
配布,0,0.45208213859462,2,4,0,"",0,0.347559571266174
配布,0,0.36925748783473,2,4,0,"",0,0.347559571266174
選択,0,0.0970950306411912,1,4,0,"",0,0.338135033845901
過ぎる,0,0.168508279893202,1,4.2,0,"",0,0.345304578542709
進入以降具体的,0,0.207757464095876,1,14,0,"",1,0.715455889701843
通過方向,0,0.707106781186547,1,8,0,"",0,0.491461604833603
通過,0,0.566340902526261,4,4,2,"",0,0.396527856588364
通過,0,0.49958366068952,4,4,2,"",0,0.396527856588364
通過,0,0.413403149004882,4,4,2,"",0,0.396527856588364
通過,0,0.237423747641464,4,4,2,"",0,0.396527856588364
通知,0,0.36925748783473,2,4,0,"",0,0.347559571266174
通知,0,0.154541244360354,2,4,0,"",0,0.347559571266174
跨が,0,0.255475000570577,2,3.1,0,"",0,0.315784692764282
跨が,0,0.244006817159855,2,3.1,0,"",0,0.315784692764282
超え,0,0.252991892162454,1,3.1,0,"",0,0.306816577911377
起き,0,0.444067892420818,1,3.1,0,"",0,0.306816577911377
走行順,0,0.404532452313076,1,6,0,"",0,0.412682622671127
走行体全体,0,0.319555722706483,2,10,0,"",1,0.580884397029877
走行体全体,0,0.187925466836749,2,10,0,"",1,0.580884397029877
走行体,0,0.369866126719957,10,6,2,"",1,0.537372767925262
走行体,0,0.368704471914999,10,6,2,"",1,0.537372767925262
走行体,0,0.277587580693209,10,6,2,"",1,0.537372767925262
走行体,0,0.264549537308138,10,6,2,"",1,0.537372767925262
走行体,0,0.259532325268604,10,6,2,"",1,0.537372767925262
走行体,0,0.2397217363541,10,6,2,"",1,0.537372767925262
走行体,0,0.219569821693729,10,6,2,"",1,0.537372767925262
走行体,0,0.165706940932248,10,6,2,"",1,0.537372767925262
走行体,0,0.164826869894095,10,6,2,"",1,0.537372767925262
走行体,0,0.133500805612904,10,6,2,"",1,0.537372767925262
走行タイム,0,0.717993967197035,4,7.6,1,"",1,0.522653698921204
走行タイム,0,0.450739192401615,4,7.6,1,"",1,0.522653698921204
走行タイム,0,0.411207561201055,4,7.6,1,"",1,0.522653698921204
走行タイム,0,0.303860725026611,4,7.6,1,"",1,0.522653698921204
走行,0,0.348393772139338,6,4,19,"",1,0.676145851612091
走行,0,0.302067499761601,6,4,19,"",1,0.676145851612091
走行,0,0.296338755300443,6,4,19,"",1,0.676145851612091
走行,0,0.239212220479472,6,4,19,"",1,0.676145851612091
走行,0,0.211159953787165,6,4,19,"",1,0.676145851612091
走行,0,0.18820233438718,6,4,19,"",1,0.676145851612091
赤い線,0,0.255475000570577,2,5.1,0,"",0,0.388295561075211
赤い線,0,0.244006817159855,2,5.1,0,"",0,0.388295561075211
詳細,0,0.597682707517079,1,4,0,"",0,0.338135033845901
該当ゲート,0,0.348436337407365,1,7.6,0,"",0,0.475543797016144
試走会,0,0.36925748783473,2,6,0,"",0,0.422857463359833
試走会,0,0.304539983261456,2,6,0,"",0,0.422857463359833
設置,0,0.431743641964629,16,4,2,"",1,0.520497381687164
設置,0,0.319346590761317,16,4,2,"",1,0.520497381687164
設置,0,0.266092915931646,16,4,2,"",1,0.520497381687164
設置,0,0.259631196767882,16,4,2,"",1,0.520497381687164
設置,0,0.244509473655516,16,4,2,"",1,0.520497381687164
設置,0,0.239672252006945,16,4,2,"",1,0.520497381687164
設置,0,0.228415058107778,16,4,2,"",1,0.520497381687164
設置,0,0.224083140572748,16,4,2,"",1,0.520497381687164
設置,0,0.212151347101702,16,4,2,"",1,0.520497381687164
設置,0,0.196939357175711,16,4,2,"",1,0.520497381687164
設置,0,0.196874813035985,16,4,2,"",1,0.520497381687164
設置,0,0.192427163682095,16,4,2,"",1,0.520497381687164
設置,0,0.183143625155051,16,4,2,"",1,0.520497381687164
設置,0,0.173054553517468,16,4,2,"",1,0.520497381687164
設置,0,0.156184748983885,16,4,2,"",1,0.520497381687164
設置,0,0.150860997322534,16,4,2,"",1,0.520497381687164
設けられ,0,0.433814940074113,3,5.3,0,"",0,0.405939489603043
設けられ,0,0.391232060579484,3,5.3,0,"",0,0.405939489603043
設けられ,0,0.250750168017001,3,5.3,0,"",0,0.405939489603043
記す,0,0.540385362120634,1,3.1,0,"",0,0.306816577911377
計算,0,0.462436955351768,2,4,0,"",0,0.347559571266174
計算,0,0.397074774664753,2,4,0,"",0,0.347559571266174
計測終了操作,0,0.168508279893202,1,12,0,"",1,0.646411418914795
計測方法,0,0.554626772058336,1,8,0,"",0,0.491461604833603
計測,0,0.384738578141146,3,4,8,"",0,0.479189395904541
計測,0,0.320916204091136,3,4,8,"",0,0.479189395904541
計測,0,0.217144169623533,3,4,8,"",0,0.479189395904541
計8個,0,0.431904220081461,1,5,0,"",0,0.374665886163712
計10個,0,0.29390305250668,1,6,0,"",0,0.412682622671127
触れ,0,0.237232916056441,2,3.1,0,"",0,0.315784692764282
触れ,0,0.154439356129262,2,3.1,0,"",0,0.315784692764282
規約説明,0,0.370887160150767,1,8,0,"",0,0.491461604833603
規定,0,0.465763975600498,1,4,0,"",0,0.338135033845901
見なす,0,0.255475000570577,2,4.2,0,"",0,0.354821801185608
見なす,0,0.244006817159855,2,4.2,0,"",0,0.354821801185608
見なし,0,0.283852782333981,1,4.2,0,"",0,0.345304578542709
複数個所,0,0.349986284923357,1,8,0,"",0,0.491461604833603
装飾物,0,0.283852782333981,1,6,0,"",0,0.412682622671127
装飾品,0,0.396149682355103,3,6,0,"",0,0.433098167181015
装飾品,0,0.300394927954874,3,6,0,"",0,0.433098167181015
装飾品,0,0.23018626772547,3,6,0,"",0,0.433098167181015
表6,0,0.45646060232447,2,3,0,"",0,0.312351524829865
表6,0,0.453219261802988,2,3,0,"",0,0.312351524829865
行われる,0,0.495340181267715,1,5.3,0,"",0,0.385932624340057
行う,0,0.444053155501148,2,3.1,0,"",0,0.315784692764282
行う,0,0.380733105346466,2,3.1,0,"",0,0.315784692764282
落下,0,0.168508279893202,1,4,0,"",0,0.338135033845901
自動判定,0,0.53222434320997,1,8,0,"",0,0.491461604833603
自コース,0,0.299064600475035,3,5.6,0,"",0,0.417518705129623
自コース,0,0.218303581889945,3,5.6,0,"",0,0.417518705129623
自コース,0,0.175874974738722,3,5.6,0,"",0,0.417518705129623
置かれ,0,0.40116030014476,5,4.2,2,"",0,0.414292484521866
置かれ,0,0.261156586062613,5,4.2,2,"",0,0.414292484521866
置かれ,0,0.250331543655764,5,4.2,2,"",0,0.414292484521866
置かれ,0,0.242797225167738,5,4.2,2,"",0,0.414292484521866
置かれ,0,0.16109898336501,5,4.2,2,"",0,0.414292484521866
置い,0,0.38830940322651,1,3.1,0,"",0,0.306816577911377
緑色,0,0.46037253545094,3,4,0,"",0,0.357105046510696
緑色,0,0.396149682355103,3,4,0,"",0,0.357105046510696
緑色,0,0.300394927954874,3,4,0,"",0,0.357105046510696
総称,0,0.518182348022919,2,4,0,"",0,0.347559571266174
総称,0,0.269542502507743,2,4,0,"",0,0.347559571266174
継続,0,0.232022318740929,2,4,0,"",0,0.347559571266174
継続,0,0.154541244360354,2,4,0,"",0,0.347559571266174
結果,0,0.371612837467173,3,4,1,"",0,0.371714472770691
結果,0,0.315811235235909,3,4,1,"",0,0.371714472770691
結果,0,0.262758422557899,3,4,1,"",0,0.371714472770691
経過時間,0,0.168508279893202,1,8,0,"",0,0.491461604833603
経過待ち,0,0.168508279893202,1,7.1,0,"",0,0.455719977617264
経過,0,0.168508279893202,1,4,3,"",0,0.381693035364151
終了,0,0.381145628549521,3,4,2,"",0,0.386562198400497
終了,0,0.217144169623533,3,4,2,"",0,0.386562198400497
終了,0,0.144631474943091,3,4,2,"",0,0.386562198400497
算出,0,0.53222434320997,1,4,0,"",0,0.338135033845901
競技結果,0,0.168508279893202,1,8,0,"",0,0.491461604833603
競技終了,0,0.168508279893202,1,8,0,"",0,0.491461604833603
競技環境,0,0.45208213859462,2,8,0,"",1,0.501918852329254
競技環境,0,0.36925748783473,2,8,0,"",1,0.501918852329254
競技,0,0.391921509304085,5,4,4,"",0,0.43734210729599
競技,0,0.384095945574515,5,4,4,"",0,0.43734210729599
競技,0,0.249345264031659,5,4,4,"",0,0.43734210729599
競技,0,0.238550352379121,5,4,4,"",0,0.43734210729599
競技,0,0.226535269372435,5,4,4,"",0,0.43734210729599
移動先,0,0.306136474305503,1,6,0,"",0,0.412682622671127
移動,0,0.306136474305503,1,4,1,"",0,0.35239377617836
秒単位,0,0.448253991993308,1,6,0,"",0,0.412682622671127
示す,0,0.479345531092834,20,3.1,0,"",0,0.494943082332611
示す,0,0.346054753875691,20,3.1,0,"",0,0.494943082332611
示す,0,0.328981409793878,20,3.1,0,"",0,0.494943082332611
示す,0,0.321655494387045,20,3.1,0,"",0,0.494943082332611
示す,0,0.316259524679736,20,3.1,0,"",0,0.494943082332611
示す,0,0.313978642104036,20,3.1,0,"",0,0.494943082332611
示す,0,0.297463014830821,20,3.1,0,"",0,0.494943082332611
示す,0,0.295564775410317,20,3.1,0,"",0,0.494943082332611
示す,0,0.288031601078299,20,3.1,0,"",0,0.494943082332611
示す,0,0.258475538483237,20,3.1,0,"",0,0.494943082332611
示す,0,0.257242586684849,20,3.1,0,"",0,0.494943082332611
示す,0,0.252573426412197,20,3.1,0,"",0,0.494943082332611
示す,0,0.236110502996848,20,3.1,0,"",0,0.494943082332611
示す,0,0.201658817712691,20,3.1,0,"",0,0.494943082332611
示す,0,0.192611009672596,20,3.1,0,"",0,0.494943082332611
示す,0,0.184724567555794,20,3.1,0,"",0,0.494943082332611
示す,0,0.132086551276188,20,3.1,0,"",0,0.494943082332611
示す,0,0.106414739821979,20,3.1,0,"",0,0.494943082332611
示す,0,0.0874528831956883,20,3.1,0,"",0,0.494943082332611
示す,0,0.0671677965320314,20,3.1,0,"",0,0.494943082332611
確認,0,0.168508279893202,1,4,0,"",0,0.321631222963333
確定,0,0.405125393668532,2,4,3,"",0,0.391613274812698
確定,0,0.154541244360354,2,4,3,"",0,0.391613274812698
矢印,0,0.233261170895678,2,4,0,"",0,0.347559571266174
矢印,0,0.187925466836749,2,4,0,"",0,0.347559571266174
直線,0,0.255475000570577,2,4,0,"",0,0.347559571266174
直線,0,0.244006817159855,2,4,0,"",0,0.347559571266174
白部分,0,0.394864220967902,2,6,0,"",0,0.422857463359833
白部分,0,0.313725922539082,2,6,0,"",0,0.422857463359833
異なる,0,0.323704122662439,3,4.2,0,"",0,0.364455342292786
異なる,0,0.285011727067136,3,4.2,0,"",0,0.364455342292786
異なる,0,0.0833371363127104,3,4.2,0,"",0,0.364455342292786
番号,0,0.207757464095876,1,4,1,"",0,0.35239377617836
用いる,0,0.446037636782963,2,4.2,0,"",0,0.354821801185608
用いる,0,0.288142693403205,2,4.2,0,"",0,0.354821801185608
獲得,0,0.401425239140861,2,4,1,"",0,0.361998349428177
獲得,0,0.280761940678812,2,4,1,"",0,0.361998349428177
状態,0,0.356123855809843,2,4,0,"",0,0.347559571266174
状態,0,0.154541244360354,2,4,0,"",0,0.347559571266174
照明環境,0,0.418038255500118,2,8,0,"",1,0.501918852329254
照明環境,0,0.304539983261456,2,8,0,"",1,0.501918852329254
照明,0,0.36925748783473,2,4,2,"",0,0.376690685749054
照明,0,0.304539983261456,2,4,2,"",0,0.376690685749054
灰色点線内,0,0.345883480345573,2,10,0,"",1,0.580884397029877
灰色点線内,0,0.321082431045324,2,10,0,"",1,0.580884397029877
準備,0,0.484185524222704,1,4,2,"",0,0.366920471191406
満たし,0,0.296075569097625,2,4.2,0,"",0,0.354821801185608
満たし,0,0.287164476226435,2,4.2,0,"",0,0.354821801185608
満たさ,0,0.426067711687393,1,4.2,0,"",0,0.345304578542709
添付数字,0,0.207757464095876,1,8,0,"",0,0.491461604833603
添付,0,0.380774244794438,5,4,1,"",0,0.391454130411148
添付,0,0.357016243503207,5,4,1,"",0,0.391454130411148
添付,0,0.337048750899636,5,4,1,"",0,0.391454130411148
添付,0,0.335649598434055,5,4,1,"",0,0.391454130411148
添付,0,0.20058015007238,5,4,1,"",0,0.391454130411148
流れ,0,0.569132472639378,1,3.1,0,"",0,0.306816577911377
決定,0,0.347212168312842,3,4,0,"",0,0.357105046510696
決定,0,0.275998377751018,3,4,0,"",0,0.357105046510696
決定,0,0.264049572083356,3,4,0,"",0,0.357105046510696
正式,0,0.492940145915912,1,4,0,"",0,0.338135033845901
機能,0,0.455819465253064,1,4,0,"",0,0.338135033845901
横倒し,0,0.255526811388178,2,5.1,0,"",0,0.388295561075211
横倒し,0,0.253466879613994,2,5.1,0,"",0,0.388295561075211
構成要素,0,0.540385362120634,1,8,1,"",1,0.507230937480927
構成,0,0.255475000570577,2,4,2,"",0,0.376690685749054
構成,0,0.244006817159855,2,4,2,"",0,0.376690685749054
条件,0,0.365695986013453,3,4,0,"",0,0.357105046510696
条件,0,0.277090083171287,3,4,0,"",0,0.357105046510696
条件,0,0.268750403297157,3,4,0,"",0,0.357105046510696
本書,0,0.370887160150767,1,4,0,"",0,0.338135033845901
最大計測時間,0,0.580396915371713,3,12,0,"",1,0.665291905403137
最大計測時間,0,0.434288339247066,3,12,0,"",1,0.665291905403137
最大計測時間,0,0.379147220314553,3,12,0,"",1,0.665291905403137
時間計測,0,0.381145628549521,3,8,0,"",1,0.512374460697174
時間計測,0,0.243632221524564,3,8,0,"",1,0.512374460697174
時間計測,0,0.144631474943091,3,8,0,"",1,0.512374460697174
時間,0,0.342904540904113,2,4,8,"",0,0.468760013580322
時間,0,0.154541244360354,2,4,8,"",0,0.468760013580322
時点,0,0.277090083171287,3,4,0,"",0,0.357105046510696
時点,0,0.268750403297157,3,4,0,"",0,0.357105046510696
時点,0,0.217144169623533,3,4,0,"",0,0.357105046510696
方向,0,0.233261170895678,2,4,3,"",0,0.391613274812698
方向,0,0.187925466836749,2,4,3,"",0,0.391613274812698
数式3,0,0.504230804067258,1,5,0,"",0,0.374665886163712
数字部分,0,0.432862504398673,1,8,0,"",0,0.491461604833603
数字カード置き場,0,0.406009083020584,3,12.7,0,"",1,0.689658284187317
数字カード置き場,0,0.293608629156022,3,12.7,0,"",1,0.689658284187317
数字カード置き場,0,0.23018626772547,3,12.7,0,"",1,0.689658284187317
数字カード,0,0.366800858867171,5,7.6,4,"",1,0.579752445220947
数字カード,0,0.265254896624521,5,7.6,4,"",1,0.579752445220947
数字カード,0,0.177691034669587,5,7.6,4,"",1,0.579752445220947
数字カード,0,0.16109898336501,5,7.6,4,"",1,0.579752445220947
数字カード,0,0.10029007503619,5,7.6,4,"",1,0.579752445220947
数字,0,0.32949594931817,9,4,11,"",1,0.588302373886108
数字,0,0.312524863185228,9,4,11,"",1,0.588302373886108
数字,0,0.308937402367121,9,4,11,"",1,0.588302373886108
数字,0,0.307523299982597,9,4,11,"",1,0.588302373886108
数字,0,0.291658901993575,9,4,11,"",1,0.588302373886108
数字,0,0.206425134819124,9,4,11,"",1,0.588302373886108
数字,0,0.173568322611102,9,4,11,"",1,0.588302373886108
数字,0,0.13940402530823,9,4,11,"",1,0.588302373886108
数字,0,0.0651501892734002,9,4,11,"",1,0.588302373886108
接地,0,0.255526811388178,2,4,0,"",0,0.347559571266174
接地,0,0.253466879613994,2,4,0,"",0,0.347559571266174
挟ん,0,0.314790411464961,1,3.1,0,"",0,0.306816577911377
指す,0,0.430551021781083,1,3.1,0,"",0,0.306816577911377
指し,0,0.255526811388178,2,3.1,0,"",0,0.315784692764282
指し,0,0.253466879613994,2,3.1,0,"",0,0.315784692764282
成立例,0,0.633478745728246,1,6,0,"",0,0.412682622671127
成立,0,0.600149739008106,9,4,2,"",0,0.447496384382248
成立,0,0.405244016074303,9,4,2,"",0,0.447496384382248
成立,0,0.397495030247326,9,4,2,"",0,0.447496384382248
成立,0,0.33745678581537,9,4,2,"",0,0.447496384382248
成立,0,0.25088156808011,9,4,2,"",0,0.447496384382248
成立,0,0.229266923758211,9,4,2,"",0,0.447496384382248
成立,0,0.216619770766448,9,4,2,"",0,0.447496384382248
成立,0,0.210100087629744,9,4,2,"",0,0.447496384382248
成立,0,0.169756058061607,9,4,2,"",0,0.447496384382248
必要,0,0.168508279893202,1,4,0,"",0,0.338135033845901
得る,0,0.468330001953206,1,3.1,0,"",0,0.306816577911377
形状,0,0.446037636782963,2,4,0,"",0,0.347559571266174
形状,0,0.41696457252981,2,4,0,"",0,0.347559571266174
引かれ,0,0.255475000570577,2,4.2,0,"",0,0.354821801185608
引かれ,0,0.244006817159855,2,4.2,0,"",0,0.354821801185608
底面,0,0.255526811388178,2,4,0,"",0,0.347559571266174
底面,0,0.253466879613994,2,4,0,"",0,0.347559571266174
差異,0,0.632258145978032,1,4,0,"",0,0.338135033845901
左側,0,0.314790411464961,1,4,0,"",0,0.338135033845901
左下,0,0.267141535110437,2,4,0,"",0,0.347559571266174
左下,0,0.254637669255754,2,4,0,"",0,0.347559571266174
左上,0,0.388380122564765,1,4,0,"",0,0.338135033845901
小さい方,0,0.321562176603937,1,6.2,0,"",0,0.42042875289917
対応,0,0.494180039360939,1,4,0,"",0,0.338135033845901
審判,0,0.168508279893202,1,4,0,"",0,0.338135033845901
実行委員会,0,0.412977691502383,4,10,0,"",1,0.601104617118835
実行委員会,0,0.328759158486244,4,10,0,"",1,0.601104617118835
実行委員会,0,0.284430076883131,4,10,0,"",1,0.601104617118835
実行委員会,0,0.136944860613505,4,10,0,"",1,0.601104617118835
実施,0,0.508161899012289,1,4,0,"",0,0.338135033845901
定義,0,0.501450399314224,1,4,0,"",0,0.338135033845901
完全,0,0.342079655070583,1,4,0,"",0,0.338135033845901
大会開催地,0,0.349986284923357,1,10,0,"",1,0.57066684961319
大会,0,0.36925748783473,2,4,1,"",0,0.361998349428177
大会,0,0.304539983261456,2,4,1,"",0,0.361998349428177
多く,0,0.43770500770406,1,3.1,0,"",0,0.306816577911377
外観,0,0.604589774571585,1,4,0,"",0,0.338135033845901
場合,0,0.279940689158131,11,4,0,"",0,0.437013417482376
場合,0,0.277383891128049,11,4,0,"",0,0.437013417482376
場合,0,0.213575268920265,11,4,0,"",0,0.437013417482376
場合,0,0.210436408388092,11,4,0,"",0,0.437013417482376
場合,0,0.204587518213902,11,4,0,"",0,0.437013417482376
場合,0,0.198429974109041,11,4,0,"",0,0.437013417482376
場合,0,0.17656842250899,11,4,0,"",0,0.437013417482376
場合,0,0.175145014523473,11,4,0,"",0,0.437013417482376
場合,0,0.160326873663087,11,4,0,"",0,0.437013417482376
場合,0,0.145220882917982,11,4,0,"",0,0.437013417482376
場合,0,0.0819636920441598,11,4,0,"",0,0.437013417482376
図6,0,0.41138131736378,12,3,0,"",0,0.408341854810715
図6,0,0.39108494893792,12,3,0,"",0,0.408341854810715
図6,0,0.382376082213202,12,3,0,"",0,0.408341854810715
図6,0,0.373250030425092,12,3,0,"",0,0.408341854810715
図6,0,0.353616661922992,12,3,0,"",0,0.408341854810715
図6,0,0.305803613466596,12,3,0,"",0,0.408341854810715
図6,0,0.300253031420159,12,3,0,"",0,0.408341854810715
図6,0,0.280682315958472,12,3,0,"",0,0.408341854810715
図6,0,0.141471320144503,12,3,0,"",0,0.408341854810715
図6,0,0.128261315451084,12,3,0,"",0,0.408341854810715
図6,0,0.103961820762117,12,3,0,"",0,0.408341854810715
図6,0,0.0798474123308681,12,3,0,"",0,0.408341854810715
図3,0,0.639218481042463,8,3,0,"",0,0.368617117404938
図3,0,0.492669065736516,8,3,0,"",0,0.368617117404938
図3,0,0.421739475739142,8,3,0,"",0,0.368617117404938
図3,0,0.394142543389749,8,3,0,"",0,0.368617117404938
図3,0,0.384096879163022,8,3,0,"",0,0.368617117404938
図3,0,0.268916751666056,8,3,0,"",0,0.368617117404938
図3,0,0.176140506578647,8,3,0,"",0,0.368617117404938
図3,0,0.141906545356653,8,3,0,"",0,0.368617117404938
問わ,0,0.707106781186547,1,3.1,0,"",0,0.306816577911377
呼ぶ,0,0.453734920147449,9,3.1,0,"",0,0.382161200046539
呼ぶ,0,0.37912125538103,9,3.1,0,"",0,0.382161200046539
呼ぶ,0,0.314246651637793,9,3.1,0,"",0,0.382161200046539
呼ぶ,0,0.308937402367121,9,3.1,0,"",0,0.382161200046539
呼ぶ,0,0.289805168199309,9,3.1,0,"",0,0.382161200046539
呼ぶ,0,0.229266923758211,9,3.1,0,"",0,0.382161200046539
呼ぶ,0,0.211222497721663,9,3.1,0,"",0,0.382161200046539
呼ぶ,0,0.197207203833119,9,3.1,0,"",0,0.382161200046539
呼ぶ,0,0.153761649991298,9,3.1,0,"",0,0.382161200046539
含め,0,0.29390305250668,1,3.1,0,"",0,0.306816577911377
含まれる,0,0.423292819825045,2,5.3,0,"",0,0.39589250087738
含まれる,0,0.304539983261456,2,5.3,0,"",0,0.39589250087738
含まれ,0,0.255526811388178,2,4.2,2,"",0,0.384203165769577
含まれ,0,0.253466879613994,2,4.2,2,"",0,0.384203165769577
向き,0,0.465763975600498,1,3.1,0,"",0,0.306816577911377
名称,0,0.454648745609735,1,4,0,"",0,0.338135033845901
名産品,0,0.349986284923357,1,6,0,"",0,0.412682622671127
同様,0,0.396984113238277,2,4,0,"",0,0.347559571266174
同様,0,0.244006817159855,2,4,0,"",0,0.347559571266174
同時に4つま,0,0.341682491418391,1,8.3,0,"",1,0.503413081169128
同一方向,0,0.296198618699508,1,8,0,"",0,0.491461604833603
同じ色,0,0.350101025673217,1,5.1,0,"",0,0.378407061100006
同じ,0,0.336794366537816,1,3.1,1,"",0,0.320393949747086
各番号,0,0.494180039360939,1,6,0,"",0,0.412682622671127
各チーム,0,0.404532452313076,1,5.6,0,"",0,0.397322833538055
各コース,0,0.321562176603937,1,5.6,0,"",0,0.397322833538055
各クラス,0,0.501450399314224,1,5.6,0,"",0,0.397322833538055
右側,0,0.314790411464961,1,4,0,"",0,0.338135033845901
右下,0,0.267141535110437,2,4,0,"",0,0.347559571266174
右下,0,0.254637669255754,2,4,0,"",0,0.347559571266174
右上,0,0.388380122564765,1,4,0,"",0,0.338135033845901
取得方法,0,0.207757464095876,1,8,0,"",0,0.491461604833603
取得可能,0,0.3679476271779,1,8,0,"",0,0.491461604833603
参照,0,0.524566761875916,5,4,0,"",0,0.37653386592865
参照,0,0.46345423484479,5,4,0,"",0,0.37653386592865
参照,0,0.38223491373675,5,4,0,"",0,0.37653386592865
参照,0,0.351581603482311,5,4,0,"",0,0.37653386592865
参照,0,0.285261177065279,5,4,0,"",0,0.37653386592865
参加チーム,0,0.329997075486672,4,7.6,0,"",1,0.506898164749146
参加チーム,0,0.323738643447857,4,7.6,0,"",1,0.506898164749146
参加チーム,0,0.269864434776599,4,7.6,0,"",1,0.506898164749146
参加チーム,0,0.217952740654902,4,7.6,0,"",1,0.506898164749146
