単語,判定結果,TF-IDF値,出現回数,優先値,連結回数
情報,0,0.618077666,3,4.5,7
企業id,1,0.5896243693,3,6.9,0
インターンシップエントリ情報,1,0.584463222,1,18.7,0
た,0,0.5238120849,2,1.6,1
提供,0,0.5155202329,3,4.5,0
ソート,1,0.5121032317,1,3.9,0
本システム,0,0.5026016408,1,7.3,0
利用,0,0.5026016408,1,4.5,0
担当者情報,1,0.4990173972,1,10.5,0
インターンシップ情報,1,0.4926335872,1,13.9,0
項目,0,0.4824740625,3,4.5,1
企業名,1,0.4789554304,2,6.5,0
いる,0,0.4611151093,2,2.7,0
学生順,1,0.457064104,1,6.5,0
企業順,1,0.457064104,1,6.5,0
企業名,1,0.4569066464,2,6.5,0
固有,0,0.4506533716,2,4.5,0
識別番号,1,0.4506533716,2,8.5,0
行う,0,0.4495329197,1,3.6,0
企業,1,0.4476425142,4,4.5,10
ログインid,1,0.4457558164,1,7.7,0
担当者,1,0.4457558164,1,6.5,8
すでに,0,0.4454058773,1,3.8,0
する,0,0.4409379215,1,2.7,2
企業担当者,1,0.4401396334,1,10.5,3
年度別一覧,1,0.4401396334,1,10.5,0
開催,0,0.4396869913,2,4.5,2
予定,0,0.4396869913,2,4.5,2
予定実施日,1,0.4388123568,1,10.5,1
予定実施日数,1,0.4388123568,1,12.5,0
なお,0,0.4328595781,1,2.7,0
登録情報,1,0.4328595781,1,8.5,0
11111111,1,0.4321219742,1,8.5,0
password,1,0.4321219742,1,10.1,0
固定値,1,0.4321219742,1,6.5,0
以下,0,0.4248830929,1,4.5,0
可能,0,0.4248830929,1,4.5,0
機能,0,0.4248830929,1,4.5,0
使用,0,0.4248830929,1,4.5,0
項目,0,0.4228725079,3,4.5,1
インターンシップ,1,0.4218366032,2,9.9,4
され,0,0.4217181149,3,2.7,0
また,0,0.4180132215,1,2.7,0
毎,0,0.4176889354,1,2.5,0
氏名,1,0.4158045122,3,4.5,1
連絡先メールアドレス,1,0.4158045122,3,14.7,0
連絡先電話番号,1,0.4158045122,3,14.5,1
企業id,1,0.4121502126,3,6.9,0
発行,0,0.4121502126,3,4.5,0
情報,0,0.4102573817,3,4.5,7
提供,0,0.4073316802,3,4.5,0
もの,0,0.4065560917,1,2.7,0
削除,0,0.4065560917,1,4.5,0
実装,0,0.4065560917,1,4.5,0
修正,0,0.4065560917,1,4.5,0
ユーザid,1,0.4012186381,2,6.3,0
ユーザ認証,1,0.4012186381,2,7.9,0
指定,0,0.4012186381,2,4.5,0
担当者id,1,0.3978474851,2,8.9,1
いる,0,0.3975351563,2,2.7,0
学生情報,1,0.3975351563,2,8.5,0
担当者id,1,0.3916502851,2,8.9,1
一覧項目,0,0.3901281539,1,8.5,0
ユーザid,1,0.3856789623,2,6.3,0
後,0,0.3822848423,4,2.5,0
登録,0,0.3815086909,2,4.5,2
ユーザ認証,1,0.3792180915,2,7.9,0
職階,1,0.3777163362,1,4.5,0
担当者名,1,0.3777163362,1,8.5,1
部署名,1,0.3777163362,1,6.5,0
固有,0,0.3727971378,2,4.5,0
識別番号,1,0.3727971378,2,8.5,0
学生,1,0.3712277801,3,4.5,6
確認,0,0.3696934369,3,4.5,0
学生,1,0.3696934369,3,4.5,6
され,0,0.3669391098,3,2.7,0
企業,1,0.3661911699,4,4.5,10
も,0,0.3658849195,1,1.6,1
よる,0,0.3658849195,1,2.7,0
同一,0,0.3658849195,1,4.5,0
複数,0,0.3658849195,1,4.5,0
発行,0,0.3638559831,3,4.5,0
され,0,0.3635703392,3,2.7,0
学生情報,1,0.3628608146,2,8.5,0
メールアドレス,1,0.3622604038,1,8.7,3
企業担当者id,1,0.3622604038,1,12.9,0
企業担当者名,1,0.3622604038,1,12.5,0
企業担当者連絡先電話番号,1,0.3622604038,1,24.5,0
同,0,0.3622604038,1,2.5,1
学生id,1,0.3610562018,1,6.9,0
学籍番号,1,0.3610562018,2,8.5,0
提供,0,0.3592716755,3,4.5,0
すべて,0,0.3592473415,1,3.8,0
なる,0,0.3592473415,1,2.7,0
参加決定者,1,0.3592473415,1,10.5,0
関する,0,0.3577203742,1,4.7,0
参加学生,1,0.3577203742,1,8.5,0
当該年度,0,0.3577203742,1,8.5,0
評定情報,1,0.3577203742,1,8.5,0
企業,1,0.3536989739,4,4.5,10
は,0,0.353329203,1,1.6,0
氏名,1,0.353329203,3,4.5,1
連絡先メールアドレス,1,0.353329203,3,14.7,0
連絡先電話番号,1,0.353329203,3,14.5,1
今回,0,0.3527271209,2,4.5,0
一覧,0,0.3497563396,1,4.5,2
開催年度,1,0.3481984961,2,8.5,0
実施開始日,1,0.3442636095,1,10.5,0
実施終了日,1,0.3442636095,1,10.5,0
実施日数,1,0.3442636095,1,8.5,1
発行,0,0.3409459005,3,4.5,0
パスワード,1,0.3403498419,4,6.3,0
こと,0,0.340348695,2,2.7,0
希望,0,0.3402662749,1,4.5,0
向け,0,0.3402662749,1,3.6,0
参加,0,0.3402662749,1,4.5,2
本学,0,0.3402662749,1,4.5,0
項目,0,0.3402418602,3,4.5,1
パスワード,1,0.3374901258,4,6.3,0
後,0,0.3374901258,4,2.5,0
インターンシップ,1,0.3333087653,2,9.9,4
インターンシップid,1,0.3322331017,1,12.3,0
インターンシップ名,1,0.3322331017,1,11.9,0
今回,0,0.3318585221,2,4.5,0
パスワード,1,0.3271676871,4,6.3,0
確認,0,0.3267941755,3,4.5,0
エントリ登録,1,0.3265608427,1,9.3,0
年度,1,0.3233258778,2,4.5,4
後,0,0.3216869937,4,2.5,0
エントリ,0,0.3206366493,2,5.3,2
た,0,0.3206366493,2,1.6,1
指定,0,0.3192737952,2,4.5,0
年度,1,0.3192737952,2,4.5,4
学生氏名,1,0.3184489305,1,8.5,0
登録,0,0.3182050737,2,4.5,2
学生,1,0.3179131227,3,4.5,6
5段階評価,0,0.3165544387,1,9.5,0
および,0,0.3165544387,1,3.8,0
次,0,0.3165544387,1,2.5,0
対する,0,0.3165544387,1,4.7,0
パスワード,1,0.3162401615,4,6.3,0
後,0,0.3162401615,4,2.5,0
企業,1,0.3119669526,4,4.5,10
確認,0,0.3116079801,3,4.5,0
企業id,1,0.3083175671,3,6.9,0
氏名,1,0.3083175671,3,4.5,1
情報,0,0.3083175671,3,4.5,7
連絡先メールアドレス,1,0.3083175671,3,14.7,0
連絡先電話番号,1,0.3083175671,3,14.5,1
開催年度,1,0.3072633182,2,8.5,0
学籍番号,1,0.3068069159,2,8.5,0
できる,0,0.3057988765,1,3.8,0
教員,1,0.3057988765,1,4.5,0
エントリ,0,0.3036956037,2,5.3,2
開催,0,0.3036956037,2,4.5,2
予定,0,0.3036956037,2,4.5,2
こと,0,0.3008546001,2,2.7,0